NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
1,1,0,1,n,8071.31806,0.0,782.3469848632812,8664.9159
-1,0,1,1,H,7288.971064,0.0,0.0,7825.031898
0,1,1,2,H,13135.722895,1112.2831,0.0,14101.777844
1,2,1,3,H,14949.8109,2827.2654,18.59202003479004,16049.28132
-1,1,2,3,He,14931.21888,2572.68044,-13736.0,16029.32197
-3,0,3,3,Li,28667.0,2267.0,0.0,30775.0
2,3,1,4,H,24621.129,1720.4491,22196.212890625,26431.867
0,2,2,4,He,2424.91587,7073.9156,-22898.2734375,2603.25413
-2,1,3,4,Li,25323.19,1153.7603,0.0,27185.561
3,4,1,5,H,32892.447,1336.3592,21661.212890625,35311.492
1,3,2,5,He,11231.234,5512.1325,-447.65289306640625,12057.224
-1,2,3,5,Li,11678.887,5266.1325,-25460.0,12537.8
-3,1,4,5,Be,37139.0,18.0,0.0,39870.0
4,5,1,6,H,41875.725,961.6395,24283.62890625,44955.437
2,4,2,6,He,17592.095,4878.5199,3505.214599609375,18885.889
0,3,3,6,Li,14086.88044,5332.3312,-4288.1533203125,15122.88742
-2,2,4,6,Be,18375.034,4487.2478,-28945.0,19726.409
-4,1,5,6,B,47320.0,-467.0,0.0,50800.0
5,6,1,7,H,49135.0,940.0,23062.0,52749.0
3,5,2,7,He,26073.128,4123.0578,11166.0224609375,27990.652
1,4,3,7,Li,14907.10463,5606.4401,-861.8930053710938,16003.43426
-1,3,4,7,Be,15768.998,5371.5487,-11907.5546875,16928.714
-3,2,5,7,B,27676.553,3558.7055,0.0,29712.0
4,6,2,8,He,31609.683,3924.521,10663.8779296875,33934.388
2,5,3,8,Li,20945.805,5159.7124,16004.1328125,22486.244
0,4,4,8,Be,4941.672,7062.4356,-17979.896484375,5305.102
-2,3,5,8,B,22921.569,4717.1551,-12142.7001953125,24607.315
-4,2,6,8,C,35064.269,3101.5242,0.0,37643.039
5,7,2,9,He,40935.826,3349.038,15980.9208984375,43946.414
3,6,3,9,Li,24954.905,5037.7685,13606.4541015625,26790.191
1,5,4,9,Be,11348.451,6462.6693,-1068.034912109375,12183.062
-1,4,5,9,B,12416.486,6257.0713,-16494.486328125,13329.645
-3,3,6,9,C,28910.971,4337.4233,0.0,31037.202
6,8,2,10,He,49197.147,2995.134,16144.51953125,52815.306
4,7,3,10,Li,33052.628,4531.3512,20445.140625,35483.453
2,6,4,10,Be,12607.487,6497.6306,556.8759155273438,13534.692
0,5,5,10,B,12050.611,6475.0835,-3648.062255859375,12936.862
-2,4,6,10,C,15698.673,6032.0426,-23101.35546875,16853.217
-4,3,7,10,N,38800.027,3643.6724,0.0,41653.54
5,8,3,11,Li,40728.259,4155.3817,20551.08984375,43723.581
3,7,4,11,Be,20177.169,5952.5402,11509.4609375,21661.08
1,6,5,11,B,8667.708,6927.7323,-1981.6888427734375,9305.166
-1,5,6,11,C,10649.397,6676.4563,-13716.2470703125,11432.597
-3,4,7,11,N,24365.644,5358.4023,-23373.26953125,26157.593
-5,3,8,11,O,47738.913,3162.4372,0.0,51249.828
6,9,3,12,Li,49009.577,3791.5999,23931.814453125,52613.942
4,8,4,12,Be,25077.761,5720.7223,11708.36328125,26922.082
2,7,5,12,B,13369.398,6631.2237,13369.3974609375,14352.638
0,6,6,12,C,0.0,7680.1446,-17338.068359375,0.0
-2,5,7,12,N,17338.068,6170.11,-14675.2666015625,18613.18
-4,4,8,12,O,32013.335,4881.9755,0.0,34367.726
7,10,3,13,Li,56980.895,3507.6307,23321.814453125,61171.503
5,9,4,13,Be,33659.08,5241.4359,17097.130859375,36134.506
3,8,5,13,B,16561.948,6496.4194,13436.9384765625,17779.981
1,7,6,13,C,3125.00933,7469.8495,-2220.4716796875,3354.83534
-1,6,7,13,N,5345.481,7238.8634,-17769.951171875,5738.609
-3,5,8,13,O,23115.432,5811.7636,-18915.0,24815.435
-5,4,9,13,F,42030.0,4297.0,0.0,45121.0
6,10,4,14,Be,39954.502,4993.8973,16290.81640625,42892.92
4,9,5,14,B,23663.686,6101.6451,20643.79296875,25404.01
2,8,6,14,C,3019.89328,7520.3198,156.47650146484375,3241.98862
0,7,7,14,N,2863.41683,7475.6148,-5144.3642578125,3074.00425
-2,6,8,14,O,8007.781,7052.2783,-23956.62109375,8596.706
-4,5,9,14,F,31964.403,5285.2091,0.0,34315.196
7,11,4,15,Be,49825.821,4540.9708,20868.44140625,53490.215
5,10,5,15,B,28957.379,5880.0438,19084.234375,31087.023
3,9,6,15,C,9873.145,7100.1696,9771.70703125,10599.256
1,8,7,15,N,101.43809,7699.4603,-2754.18408203125,108.89827
-1,7,8,15,O,2855.622,7463.6915,-13711.1298828125,3065.636
-3,6,9,15,F,16566.752,6497.4597,-23648.62109375,17785.139
-5,5,10,15,Ne,40215.374,4868.7285,0.0,43172.977
8,12,4,16,Be,57447.139,4285.2851,20335.439453125,61672.036
6,11,5,16,B,37111.699,5507.3535,23417.56640625,39841.045
4,10,6,16,C,13694.133,6922.0546,8010.22607421875,14701.255
2,9,7,16,N,5683.907,7373.7971,10420.9091796875,6101.925
0,8,8,16,O,-4737.00217,7976.2072,-15412.18359375,994914.61926
-2,7,9,16,F,10675.182,6964.049,-13311.5927734375,11460.278
-4,6,10,16,Ne,23986.775,6083.1777,0.0,25750.86
7,12,5,17,B,43716.322,5269.6677,22684.44140625,46931.399
5,11,6,17,C,21031.88,6558.0262,13161.80078125,22578.65
3,10,7,17,N,7870.079,7286.2294,8678.8427734375,8448.876
1,9,8,17,O,-808.76421,7750.7291,-2760.465576171875,999131.75595
-1,8,9,17,F,1951.701,7542.3284,-14548.7509765625,2095.237
-3,7,10,17,Ne,16500.452,6640.4991,-18219.126953125,17713.962
-5,6,11,17,Na,34719.58,5522.7653,0.0,37273.0
8,13,5,18,B,51792.64,4976.6306,26873.375,55601.683
6,12,6,18,C,24919.266,6426.1321,11806.0986328125,26751.93
4,11,7,18,N,13113.167,7038.5627,13895.9833984375,14077.563
2,10,8,18,O,-782.81634,7767.0981,-1655.9288330078125,999159.61214
0,9,9,18,F,873.112,7631.6383,-4444.5048828125,937.324
-2,8,10,18,Ne,5317.617,7341.2577,-19720.375,5708.696
-4,7,11,18,Na,25037.992,6202.2176,0.0,26879.388
9,14,5,19,B,59770.251,4719.6346,27356.49609375,64166.0
7,13,6,19,C,32413.754,6118.274,16557.5,34797.594
5,12,7,19,N,15856.255,6948.5452,12523.3974609375,17022.389
3,11,8,19,O,3332.858,7566.4952,4820.302734375,3577.969
1,10,9,19,F,-1487.44512,7779.0192,-3239.49853515625,998403.16207
-1,9,10,19,Ne,1752.054,7567.3431,-11177.3310546875,1880.906
-3,8,11,19,Na,12929.384,6937.8864,-18909.009765625,13880.264
-5,7,12,19,Mg,31838.394,5901.4992,0.0,34179.92
10,15,5,20,B,69401.569,4405.6529,31898.001953125,74505.644
8,14,6,20,C,37503.567,5961.4356,15737.0693359375,40261.732
6,13,7,20,N,21766.498,6709.1717,17970.326171875,23367.295
4,12,8,20,O,3796.172,7568.5707,3813.635009765625,4075.357
2,11,9,20,F,-17.463,7720.1351,7024.46875,999981.252
0,10,10,20,Ne,-7041.93217,8032.2412,-13892.4208984375,992440.17525
-2,9,11,20,Na,6850.489,7298.5028,-10627.205078125,7354.301
-4,8,12,20,Mg,17477.694,6728.0252,0.0,18763.075
11,16,5,21,B,78382.887,4152.5265,32740.0,84147.485
9,15,6,21,C,45643.0,5674.0,20411.0,49000.0
7,14,7,21,N,25231.915,6609.0159,17169.880859375,27087.573
5,13,8,21,O,8062.034,7389.3747,8109.63916015625,8654.948
3,12,9,21,F,-47.605,7738.2934,5684.17138671875,999948.893
1,11,10,21,Ne,-5731.776,7971.7136,-3546.9189453125,993846.685
-1,10,11,21,Na,-2184.857,7765.5581,-13088.7080078125,997654.459
-3,9,12,21,Mg,10903.851,7105.0317,-16186.0,11705.764
-5,8,13,21,Al,27090.0,6297.0,0.0,29082.0
10,16,6,22,C,53611.203,5421.0778,21846.3984375,57553.99
8,15,7,22,N,31764.805,6378.5347,22481.7734375,34100.918
6,14,8,22,O,9283.032,7364.8722,6489.65625,9965.744
4,13,9,22,F,2793.376,7624.2954,10818.091796875,2998.812
2,12,10,22,Ne,-8024.716,8080.4656,-2843.32421875,991385.113
0,11,11,22,Na,-5181.391,7915.6624,-4781.4052734375,994437.547
-2,10,12,22,Mg,-399.986,7662.7645,-18601.0,999570.597
-4,9,13,22,Al,18201.0,6782.0,-15439.0,19540.0
-6,8,14,22,Si,33640.0,6044.0,0.0,36114.0
11,17,6,23,C,64171.0,5077.0,27450.0,68890.0
9,16,7,23,N,36720.429,6236.6721,22099.05859375,39421.0
7,15,8,23,O,14621.371,7163.4856,11336.107421875,15696.686
5,14,9,23,F,3285.263,7622.3447,8439.30859375,3526.875
3,13,10,23,Ne,-5154.045,7955.2561,4375.80859375,994466.905
1,12,11,23,Na,-9529.85352,8111.4936,-4056.178955078125,989769.28195
-1,11,12,23,Mg,-5473.675,7901.1229,-12221.74609375,994123.768
-3,10,13,23,Al,6748.071,7335.7275,-17202.0,7244.351
-5,9,14,23,Si,23950.0,6554.0,0.0,25711.0
10,17,7,24,N,46938.0,5887.0,28438.0,50390.0
8,16,8,24,O,18500.404,7039.6855,10955.888671875,19861.0
6,15,9,24,F,7544.516,7463.5831,13496.158203125,8099.37
4,14,10,24,Ne,-5951.642,7993.3252,2466.25830078125,993610.649
2,13,11,24,Na,-8417.901,8063.4882,5515.67724609375,990963.012
0,12,12,24,Mg,-13933.578,8260.7103,-13884.765625,985041.689
-2,11,13,24,Al,-48.812,7649.5806,-10793.998046875,999947.598
-4,10,14,24,Si,10745.186,7167.2329,-23275.0,11535.43
-6,9,15,24,P,34020.0,6165.0,0.0,36522.0
11,18,7,25,N,55983.0,5613.0,28654.0,60100.0
9,17,8,25,O,27329.03,6727.8058,15994.86328125,29338.919
7,16,9,25,F,11334.167,7336.3065,13369.669921875,12167.727
5,15,10,25,Ne,-2035.503,7839.7994,7322.310546875,997814.797
3,14,11,25,Na,-9357.814,8101.3979,3834.968505859375,989953.974
1,13,12,25,Mg,-13192.782,8223.5028,-4276.80810546875,985836.966
-1,12,13,25,Al,-8915.974,8021.1366,-12743.2958984375,990428.308
-3,11,14,25,Si,3827.322,7480.1109,-16363.0,4108.798
-5,10,15,25,P,20190.0,6794.0,0.0,21675.0
10,18,8,26,O,34661.041,6497.479,15986.3857421875,37210.155
8,17,9,26,F,18674.655,7082.2497,18193.541015625,20048.065
6,16,10,26,Ne,481.114,7751.911,7341.89404296875,516.496
4,15,11,26,Na,-6860.78,8004.2013,9353.7626953125,992634.649
2,14,12,26,Mg,-16214.544,8333.8711,-4004.404296875,982592.972
0,13,13,26,Al,-12210.139,8149.7653,-5069.13623046875,986891.876
-2,12,14,26,Si,-7141.003,7924.7083,-18114.0,992333.818
-4,11,15,26,P,10973.0,7198.0,-16707.0,11780.0
-6,10,16,26,S,27680.0,6525.0,0.0,29716.0
11,19,8,27,O,44670.0,6185.0,19536.0,47955.0
9,18,9,27,F,25133.478,6879.6662,18082.568359375,26981.897
7,17,10,27,Ne,7050.91,7520.4151,12568.7001953125,7569.462
5,16,11,27,Na,-5517.791,7956.9467,9068.8037109375,994076.408
3,15,12,27,Mg,-14586.594,8263.8525,2610.269287109375,984340.647
1,14,13,27,Al,-17196.864,8331.5533,-4812.3583984375,981538.408
-1,13,14,27,Si,-12384.505,8124.342,-11725.47265625,986704.687
-3,12,15,27,P,-659.032,7661.0894,-18150.0,999292.499
-5,11,16,27,S,17491.0,6960.0,0.0,18777.0
12,20,8,28,O,52080.0,5988.0,18676.0,55910.0
10,19,9,28,F,33403.796,6626.8567,22104.05859375,35860.448
8,18,10,28,Ne,11299.738,7388.3463,12288.0537109375,12130.767
6,17,11,28,Na,-988.315,7799.2644,14031.6298828125,998939.0
4,16,12,28,Mg,-15019.946,8272.4531,1830.7740478515625,983875.426
2,15,13,28,Al,-16850.719,8309.8969,4642.07763671875,981910.009
0,14,14,28,Si,-21492.79711,8447.7445,-14344.9404296875,976926.53442
-2,13,15,28,P,-7147.856,7907.4842,-11221.0595703125,992326.46
-4,12,16,28,S,4073.203,7478.7911,-24197.0,4372.762
-6,11,17,28,Cl,28270.0,6587.0,0.0,30349.0
11,20,9,29,F,40150.19,6444.0314,21750.38671875,43103.0
9,19,10,29,Ne,18399.803,7167.0673,15719.8095703125,19753.0
7,18,11,29,Na,2679.994,7682.1522,13292.353515625,2877.091
5,17,12,29,Mg,-10612.36,8113.5317,7595.40234375,988607.163
3,16,13,29,Al,-18207.762,8348.4647,3687.319091796875,980453.164
1,15,14,29,Si,-21895.08154,8448.6361,-4942.232421875,976494.66434
-1,14,15,29,P,-16952.849,8251.2368,-13858.42578125,981800.368
-3,13,16,29,S,-3094.423,7746.3826,-17117.0,996678.0
-5,12,17,29,Cl,14022.0,7129.0,-23947.0,15053.0
-7,11,18,29,Ar,37969.0,6276.0,0.0,40761.0
12,21,9,30,F,48960.0,6205.0,25680.0,52561.0
10,20,10,30,Ne,23280.12,7034.5317,14805.4501953125,24992.235
8,19,11,30,Na,8474.67,7501.9685,17356.04296875,9097.931
6,18,12,30,Mg,-8881.373,8054.425,6982.744140625,990465.454
4,17,13,30,Al,-15864.116,8261.1049,8568.845703125,982969.171
2,16,14,30,Si,-24432.962,8520.6549,-4232.1064453125,973770.137
0,15,15,30,P,-20200.856,8353.5064,-6141.6015625,978313.49
-2,14,16,30,S,-14059.254,8122.7081,-18733.802734375,984906.77
-4,13,17,30,Cl,4674.548,7472.1698,-17397.0,5018.333
-6,12,18,30,Ar,22071.0,6866.0,0.0,23694.0
